CDCIA_USUARIA;DSCIA_USUARIA;NIT_COMPANIA;DSTIPO_ACTIVIDAD
10;CREATIVE COLORS S.A;830.031.886-2;INDUSTRIAL DE BIENES
1000;COLDEPOSITOS LOGISTICA S.A.S.;900.841.486-9;INDUSTRIAL DE SERVICIOS
1005;ST LOGISTIC ZFB S.A.S.;900.928.513-5;INDUSTRIAL DE SERVICIOS
1006;ZEVEN LOGISTICS S.A.S.;900.936.456-7;INDUSTRIAL DE SERVICIOS
1007;DELOING FREE ZONE S.A.S.;900.900.636-0;INDUSTRIAL DE SERVICIOS
1010;SKY INDUSTRIAL S.A.S.;900.975.788-3;INDUSTRIAL DE SERVICIOS
1011;SIL ZONA FRANCA S.A.S.;900.816.556-0;INDUSTRIAL DE SERVICIOS
1012;STRATEGIC INTERNATIONAL BUSINESS;900.984.781-0;INDUSTRIAL DE SERVICIOS
1014;MAC LOGISTICA ZONA FRANCA S.A.S.;900.544.539-7;INDUSTRIAL DE SERVICIOS
1015;SONDA SERVICIOS S.A.S.;901.039.094-1;INDUSTRIAL DE SERVICIOS
1016;COMDATA ZF S.A.S.;901.087.941-8;INDUSTRIAL DE SERVICIOS
1017;ALBROKERS ZF S.A.S.;901.080.113-4;INDUSTRIAL DE SERVICIOS
1018;GLOBAL TRAINING AVIATION COLOMBIA S;901.190.665-1;INDUSTRIAL DE SERVICIOS
1020;DISAN CSC S.A.S.;901.341.945-6;INDUSTRIAL DE SERVICIOS
1021;KASTOR CREACION Y PRODUCCION SAS;901.394.751-1;INDUSTRIAL DE BIENES
1022;DREAMS STORAGE S.A.S.;901.427.496-1;INDUSTRIAL DE BIENES Y SERVICIOS
1023;WLG SUPPLY ZONA FRANCA S.A.S.;9014232745;INDUSTRIAL DE SERVICIOS
1025;GOAL LOGISTIC ZF S.A.S.;901.461.313-6;INDUSTRIAL DE SERVICIOS
1028;ROKELL SERVICES SAS;901523231;INDUSTRIAL DE SERVICIOS
105;SITEKOL REFINING S.A.S.;830.094.689-8;INDUSTRIAL DE BIENES
106;TENSIL S.A.;900.179.410-0;INDUSTRIAL DE BIENES Y SERVICIOS
108;LEVAPAN COLOMBIA S.A.S.;900.372.462-1;INDUSTRIAL DE BIENES
14;PETTACCI S.A.;830.026.048-7;INDUSTRIAL DE BIENES
17;QUEST INTERNATIONAL S.A;830.106.036-2;INDUSTRIAL DE BIENES
20;INTERTES SUR S.A.S.;900.333.380-8;INDUSTRIAL DE BIENES
202;DHL GLOBAL FORWARDING ZONA FRANCA;830.025.224-2;INDUSTRIAL DE SERVICIOS
207;DISTRISERVICES S.A COLOMBIA;830.076.368-2;INDUSTRIAL DE SERVICIOS
210;SERVIFRANCA INTERNATIONAL S.A SUCUR;830.104.873-1;INDUSTRIAL DE SERVICIOS
213;ALSERVICIOS INDUSTRIALES ZONA FRANC;830.120.326-1;INDUSTRIAL DE SERVICIOS
215;INTERTRADING ZF S.A.S.;830.133.653-1;INDUSTRIAL DE SERVICIOS
216;SERVIALCOMEX S.A.S.;830.506.117-7;INDUSTRIAL DE SERVICIOS
219;TRADESERVICE GROUP INC.;900.036.505-8;INDUSTRIAL DE SERVICIOS
