CountryCod;CountryName;CountryID
217;ZONA FRANCA CENTRAL CASANARE S;1
991;ZFP PARQUESUR;2
985;ZFI DE PEREIRA;3
287;"GEORGIA             ";4
960;ZONA FRANCA TOCANCIPA;5
313;"GUAM                ";6
658;ZFPE DIACOR SOACHA ZONA FRANCA;7
944;ZFPE ECODIESEL COLOMBIA;8
625;ZFPE MEDICAL DUARTE;9
951;ZFPE VIDRIO ANDINO S.A.;10
953;ZFPE REFINERIA DE CARTAGENA;11
671;ZF TRANSITORIA GRUPO HEROICA;12
966;ZFP SANTANDER;13
26927;ZFPE FUNDACION CTIC;14
660;"REUNION             ";15
870;FIDJI;16
942;ZFPE CORFERIAS;17
620;ZFPE SOC PUERTO IND AGUADULCE;18
129;ZONA FRANCA ZOFRANDINA;19
969;ZONA FRANCA CAUCA;20
325;"GUAYANA FRANCESA    ";21
927;CTIC-CENTRO TRATAMIENTO CANCER;22
943;ZFP LAS AMERICAS;23
847;"UZBEKISTAN          ";24
305;"GROENLANDIA         ";25
940;ZONA FRANCA TAYRONA;26
981;ZFPE FUNDACION FOSUNAB;27
337;"GUYANA              ";28
507;"NAMIBIA             ";29
293;"GIBRALTAR           ";30
47;"ANTILLAS HOLANDESAS ";31
925;CERVECERIA DEL VALLE S.A.;32
477;MARTINICA;33
285;"GAMBIA              ";34
599;"POLINESIA FRANCESA  ";35
930;ZONA FRANCA ESPECIAL BIO D;36
973;ZFPE CLINICA LOS NOGALES;37
461;"MALDIVAS            ";38
916;ZONA FRANCA CARTAGENA;39
90;"BERMUDAS            ";40
341;"HAITI               ";41
496;"MOLDAVIA            ";42
650;ZFPE C. HOSP. SERENA DEL MAR;43
275;OTROS PAISES Y TERR.;44
573;"ITALIA              ";45
249;"CHINA               ";46
87;"HUNGRIA             ";47
628;"ESTADOS UNIDOS      ";48
548;OTROS PAISES Y TERR.;49
0;RUSIA;50
345;"HONDURAS            ";51
0;ESPA�A;52
756;ZIMBABWE;53
579;TERR.AUTONOMS.D PALE;54
919;"SUIZA               ";55
23;"REPUBLICA CHECA     ";56
850;"REINO UNIDO         ";57
0;"FRANCIA             ";58
580;"ITALIA              ";59
87;"POLONIA             ";60
169;"IRLANDA (EIRE)      ";61
196;"COSTA RICA          ";62
919;"AUSTRALIA           ";63
573;"FINLANDIA           ";64
455;"TAILANDIA           ";65
245;ALEMANIA REP. FED.DE;66
999;OTROS PAISES Y TERR.;67
919;RUSIA;68
351;"CHINA               ";69
215;"SINGAPUR            ";70
244;OTROS PAISES Y TERR.;71
914;"ZONA FRANCA CUCUTA  ";72
919;"COREA DEL SUR       ";73
351;OTROS PAISES Y TERR.;74
169;"AUSTRALIA           ";75
115;"BURUNDI             ";76
169;ALEMANIA REP. FED.DE;77
275;"CHINA               ";78
538;"NORUEGA             ";79
919;"SUECIA              ";80
919;"ZONA FRANCA CUCUTA  ";81
603;"REINO UNIDO         ";82
190;"COREA DEL SUR       ";83
656;COLOMBIA;84
149;LUXEMBURGO;85
245;"JAPON               ";86
244;"ARABIA SAUDITA      ";87
764;OTROS PAISES Y TERR.;88
919;"LIBANO              ";89
87;"NORUEGA             ";90
756;"ESTADOS UNIDOS      ";91
919;"KAMPUCHEA (CAMBOYA) ";92
105;ALEMANIA REP. FED.DE;93
386;TUNICIA;94
211;"CHINA               ";95
589;"COREA DEL SUR       ";96
249;OTROS PAISES Y TERR.;97
440;LIECHTENSTEIN;98
190;"VIETNAM             ";99
169;"JAPON               ";100
919;"LAOS                ";101
855;"COREA DEL SUR       ";102
169;"ESLOVENIA           ";103
97;"BOLIVIA             ";104
919;"HONG KONG           ";105
169;"TURQUIA             ";106
911;"ZONA FRANCA BQUILLA ";107
249;"PUERTO RICO         ";108
218;"CHINA               ";109
375;"REINO UNIDO         ";110
169;"SUIZA               ";111
361;ESPA�A;112
105;"MEXICO              ";113
23;"POLONIA             ";114
493;"PACIFICO ISLAS DEL ";115
628;"PERU                ";116
383;"UCRANIA             ";117
218;OTROS PAISES Y TERR.;118
249;"MALASIA             ";119
169;"MEXICO              ";120
169;PAISES BAJOS(HOLANDA;121
93;"BIRMANIA (MYANMAR)  ";122
855;"HONG KONG           ";123
687;"SAMOA (OCCIDENTAL)  ";124
573;"SUDAFRICA           ";125
149;"TAIWAN              ";126
919;"BIRMANIA (MYANMAR)  ";127
776;"TAIWAN              ";128
493;"ARGENTINA           ";129
365;"MALASIA             ";130
580;"JAPON               ";131
580;"MEXICO              ";132
919;"GRECIA              ";133
355;"TAILANDIA           ";134
187;"COREA DEL NORTE     ";135
249;"TAIWAN              ";136
593;PITCAIRN.ISLA;137
244;"FRANCIA             ";138
960;"ESTADOS UNIDOS      ";139
580;"PANAMA              ";140
939;ZONA FRANCA INTEXZONA;141
149;"CHINA               ";142
919;"ESLOVENIA           ";143
232;"CHINA               ";144
249;ESPA�A;145
386;"BULGARIA            ";146
528;"NIGERIA             ";147
26927;"ESTADOS UNIDOS      ";148
218;"TAIWAN              ";149
23;"AUSTRIA             ";150
249;"FRANCIA             ";151
493;"CHINA               ";152
580;"ESTADOS UNIDOS      ";153
23;"HUNGRIA             ";154
918;"ZONA F. CANDELARIA  ";155
0;"SUIZA               ";156
239;"PERU                ";157
556;"OMAN                ";158
275;ESPA�A;159
275;"MALASIA             ";160
919;BELGICA;161
919;"IRAN                ";162
232;"AUSTRIA             ";163
275;"FRANCIA             ";164
165;COCOS(KEELING) ISLAS;165
919;"ZONA F. RIONEGRO    ";166
939;"TAILANDIA           ";167
375;OTROS PAISES Y TERR.;168
351;ESPA�A;169
919;"ECUADOR             ";170
586;"PARAGUAY            ";171
573;"ESTADOS UNIDOS      ";172
607;"CHINA               ";173
919;"ZONA DEL CANAL      ";174
845;"TAIWAN              ";175
447;"MEXICO              ";176
105;"BRASIL              ";177
267;"FINLANDIA           ";178
573;ALEMANIA REP. FED.DE;179
247;"ESLOVENIA           ";180
245;"SUECIA              ";181
656;ALEMANIA REP. FED.DE;182
0;OTROS PAISES Y TERR.;183
169;"ESLOVAQUIA          ";184
919;"REINO UNIDO         ";185
169;"SUDAFRICA           ";186
245;"ITALIA              ";187
249;"VIETNAM             ";188
169;COLOMBIA;189
275;MONACO;190
183;"COOK ISLAS         ";191
580;ALEMANIA REP. FED.DE;192
235;OTROS PAISES Y TERR.;193
169;"SUECIA              ";194
169;"ITALIA              ";195
443;"LITUANIA            ";196
355;"POLONIA             ";197
87;"AUSTRIA             ";198
589;"ESLOVENIA           ";199
80;"BAHREIN             ";200
455;"CHIPRE              ";201
275;TUNICIA;202
351;"TAIWAN              ";203
603;OTROS PAISES Y TERR.;204
23;"CHINA               ";205
919;"PUERTO RICO         ";206
245;"TURQUIA             ";207
105;"SUECIA              ";208
611;"ESTADOS UNIDOS      ";209
249;"FILIPINAS           ";210
