COD_ITEM;ITEM;TIPO_ITEM;UNIDAD_MEDIDA;ProductID
:0005334;PLANTA IP PBX 3110 (BT-AXURE);LD;U;1
0.0334;U�A COMPLEMENTO DE LA CHAPA 7460 Y 7365;LD;BTS;2
0.0528;CHAPA MEDIANA DELAGADA CON GANCHO;LD;BTS;3
0000002YC612;DISCO DURO (TELEFONICA1-AVIATUR);LD;U;4
000-0011 2932;CHAQUETAS;E;BTS;5
000-00110733;FRAGANCIAS - DISTRIBEAUTE;E;BTS;6
000-00111608;FRAGANCIAS - DISTRIBEAUTE;E;BTS;7
000-00112484;PERFUMERIA.MOSTRADORES - DISTRIBEAUTE;E;BTS;8
000-00112803;PRODUCTOS DE BELLEZA-HONORE;E;BTS;9
000-00307843;000-00307843 PERDOMO BUSINESS BOOT DIELECTIRC;E;BTS;10
0000115NZDO;CELULARES - V V TECHNOLOGY;LD;BTS;11
000-03100953;PARTES DE AUTOMOVIL.BATERIAS DE IONES DE LITIO-COMPA�IA;E;BTS;12
0000362HSS1/2;BURIL CUADRADO HSS 1/2 X 4;NE;U;13
0000362TORFLU;ACEITE REFRIGERANTE (20LT) ( TORNO FRESA) FLUDINE;LD;U;14
000-0630 5202;DISPOSITIVOS MEDICOS-IMCOLMEDICA;E;BTS;15
000-06305253;ACCESORIOS DENTAL PRODUCTS;E;BTS;16
000-06305517;REPUESTOS;E;BTS;17
000-06305586;REPUESTOS PARA MAQUINAS;E;BTS;18
000-08502371;TABLECLOTH;E;BTS;19
000-0850-2636;DICE CONTENER ELECTRODOS Y ACCESORIOS;E;BTS;20
000-08502696;DISPOSITIVOS MEDICOS;E;BTS;21
00009-22IEM;ARENA VERDE PLUS;E;BTS;22
0000NABSKRBQ - INTERNEXA;DISCO EXTERNO USB 2.5 5TB 3.0 EXT;LD;U;23
0000NABSLFGT - INTERNEXA;DISCO EXTERNO USB 2.5 5TB 3.0 EXT;LD;U;24
0000NABSLFH0 - INTERNEXA;DISCO EXTERNO USB 2.5 5TB 3.0 EXT;LD;U;25
0000NABSLFH9 - INTERNEXA;DISCO EXTERNO USB 2.5 5TB 3.0 EXT;LD;U;26
0000NABSLFHT - INTERNEXA;DISCO EXTERNO USB 2.5 5TB 3.0 EXT;LD;U;27
